class,text
Pos,Laundering Ari's iPhone not my finest moment. But after drying in bag of (organic :-) rice for 4 days it booted up!!!!!!!!!!! @apple
Pos,RT @SawyerHartman: I FU*KING LOVE YOU @APPLE this phone is the best thing ever !! SIRI = BEST THING EVER MADE
Neg,You know @apple It's been almost a week since I paid for iTunes Match I would really like to use it. Any ETA on a fix?
Neutral,Bouquet for Jobs @Apple Store Nagoya http://t.co/pmEcxPug
Neutral,I have 4 @Apple products...
Neg,Oh @apple. Steve obviously had nothing to do with iPhoto as it's the perfect opposite of 'insanely great'. Get it fixed please.
Neutral,More Twitter buzz for Apple Store: http://t.co/hLybd7uc - RT @ji_lee started out as a trip to the @apple store. turned into a spontaneou...
Neutral,@Blogger loves @Apple iPhone. My blogpost finally done through iPhone apps.
Neg,Siri is having a hard time remembering who my sister is. contact card needs space for family info. #iPhone4S @apple
Neg,Anyone else seeing missing signal bars on their #iPhone 3GS with an upgrade to #iOS5? cc/ @applecanada @apple @forstall
Neutral,@nascarwriter right where I left it last week... #iphone4S #Apple @Apple  http://t.co/ksJh8BAS
Neutral,#Siri is kinda slow tho impressed it got my accent and commands first time out. @apple
Neg,+1  RT @Doug_Newton: @apple PLEASE FIX #Siri!!!! She can't connect to your network!!!!!!!
Pos,Thank you @apple for your innovations. Exhibit A: Guy playing with Facetime instead of watching game at sports bar. http://t.co/oU7K39ge
Neutral,@msantram I want @apple to integrate Siri with @Quora.
Neg,why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of @apple
Pos,We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16
Neutral,@apple and @nintendo need to partner up for the app store
Pos,Hey @apple if you send me a free iPhone (any version will do) I will publicly and ceremoniously burn my #BlackBerry.
Neutral,@coatgal had a really interestng experience up in the @Apple store though Paul was with me up there faulty #iphone4 - but out of warranty
Neutral,RT @DJTREBEL1: #fail i guess @apple didnt notify these clowns that the iPhone5 isnst out yet.... http://t.co/2yCDNt1B
Neutral,Dear @apple why did my #Apple ID change to my colleagues&#39; when I charged on her Mac? Now can&#39;t download or update apps. #iPhone
Neutral,RT @aplusk: Sending love & light to everyone @Apple & the entire Jobs family.Today we lost a Giant who will be missed even by those who  ...
Neutral,RT @TechHamlet: Thank You Steve : A Song Created for Steve Jobs http://t.co/2vtX8ZJf via @TechHamlet @AzRmusic @Apple #stevejobs #apple
Neutral,@apple @AppStore @ihelpline when r u going to provide the ability to password protect iPad email???
Neg,GAH. @apple iOS 5 opens text messages painfully slow on top of 3 restore attempts 2 succeed. Early adopterness gets better of me.
Neg,Ok Hindi keyboard in #iOS5 is something to cheer about.  But @apple  what about  support for 20+ missing Indian languages!? #FAIL
Neg,ugh! @apple youre reservation page for the iPhone is NOT working.
Neg,Thanks to a 90 minute wait on hold half an hour actually talking to someone the @Apple tech decides to send me an email to fix my phone
Pos,Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s
Neutral,yeah @apple is updated!! planking photos #lmaoo http://t.co/IusXJJDq
Neutral,RT @Apple sells 4 million iPhone 4S in 3 days http://t.co/vElmtzNS via @reuters
Neutral,Hey @twitter and @apple this is pretty dumb. http://t.co/kubkPO0T
Neutral,@hanrahan52 @apple Don't say things you can't take back Joel.
Neutral,Dear @Apple iMessage client for desktop please :)
Neutral,@fabi_m not that I know of. I think it is only on iOS should get @apple to make a desktop app :)
Neg,@PrJusto Don't question the @Apple they will remember your dissent!
Pos,Thank you @apple for Find My Mac - just located and wiped my stolen Air. #smallvictory #thievingbastards
Neutral,Say no to 1000 things. What are you saying no to? 7 Rules of Success from Steve Jobs of @apple #prodmgmt #management #innovation
Neg,RT @RedDeerSteph: @Joelplane @apple I hear you! I've had trouble with my 3 & now 4. I've even turned down brightness. #andshuttingdownru ...
Neutral,RT @ajrogers Purdie Rogers tribute to #SteveJobs and @apple. We spray painted the Macintosh Plus w.. http://t.co/AlDicTd1
Neutral,Why can't I check just Notes (without mail) on Lion for #iCloud like I do on the iOS devices @apple ?
Neutral,If the iPhone 4 case fits the 4S why is @nlevenbrown @apple buying a new one?
Neutral,@Apple has lunched its new OS: iSO 5
Neg,@apple your new Save a Version function in Pages is absolutely the most awful interrupting counter-intuitive piece of crap in the world
Neutral,after being on hold with @apple for the last 30 mins i really like their music selection of on-hold music. White Stripes Ray Lamontagne...
Neutral,@RIM to release new generation of phones in the new year to contend with @Apple... Hmmm.
Neutral,@thatstevegray done that buddy just  surprised that there's no option from @apple & if you turn it back on it brings back the pics u delete
Pos,I just sent my grandma a post card using my #CardsApp thanks @Apple
Neutral,The 'Great Tech War': @Apple @Facebook @Google @Amazon battle for the future http://t.co/sVu8cG1M via @fastcompany
Neutral,But @att is working with @apple to make their iPhone say 4G RT @JFSikora: @TCPJ_Mickey I'm so glad Apple is not slinging that crap.
Pos,RT @TripLingo: We're one of a few Featured Education Apps on the @Apple **Website** today sweet! http://t.co/0yWvbe1Z
Neg,RT @JoelBurns: Dear @Apple it's me again. Thank for beautiful new iOS features. But I miss some of the old ones. Lk making calls & texts&gt;(
Pos,Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today out of warranty.
Neutral,Saw that @apple is covered with msgs 4 steve jobs. Nice to kno ppl r still saying #thankyousteve
Pos,@Apple's Siri is witchcraft.  What's next @googleresearch. 2 yr lead lost?
Neg,@apple battery life suck on iOS 5
Neutral,@Apple #RIPSteve RT @davepeck: Steve Jobs and the Seven Rules of Success http://t.co/4nLRLdWy
Neutral,I am now the proud owner of @apple tv thanks to big bro @steveeadie and family!!
Pos,It would have taken me 15 mins to write this with my #Blackberry. Thank u @Apple 4s for converting me and showing me the grass is greener!
Neutral,iPhone 4S 8MP camera : Its a SONY. http://t.co/BIqBEhTb @sony @apple #apple #iphone4S #cameras
Neg,Ok @iTunesMusic idk wth is up but after syncing my phone my album art is out of order! WTF @Apple!
Neutral,Apple have just announced they sold 4 million phones this weekend. Incredible. That recession continues to bite @apple #recession
Pos,@Apple will be adding more carrier support to the iPhone 4S (just announced)
Neutral,#Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/fnbKNwmj #PampersHelloApps Ends10/21
Pos,#iCloud set up was flawless and works like a champ! To the Cloud @Apple
Neg,So glad that I paid $69 for this @apple care protection plan.  Been on hold for over 20 minutes now.  Great customer service. #NOT
Neg,My schedule is 2 busy 2 spend UNquality time with @ATT @Apple 2 recover Iphone again-The mo' mobile I get the mo' immobile I is. Sync Not!
Neutral,@rjakesuk mine is past the warranty and I don't have AppleCare. #ios5 @apple
Neutral,Dear @apple yesterday you sucked. Today you're awesome! Thanks LP Apple store crash and burn mich ave store.
Pos,Finally got the @apple IPhone thanks to @sprint getting with the times
Neutral,Iphone: Watch Siri &quot;Work&quot; On the Old iPhone 4 - @Gizmodo http://t.co/dGPWL0r0 @apple allow commands from iPhone 4. Stop playin!
Neutral,@Apple iOS5 is all well and good and has nice new features but I'm still waiting on an app that will go to work for me.
Neutral,#Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/8MaDmqPc #PampersHelloApps
Neutral,@philipgrey @apple it's kinda sad that's the most relevant tweet I've seen today. Or kinda awesome. I'm not sure. #DevProblems
Pos,I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   :)  Way to go @Apple!
Neutral,Loving these names. @Google Chases @Apple With Ice Cream Sandwich - http://t.co/u3LchmGD #mobile
Neutral,Lol @Apple support playing Mary J Blige during the wait time.
Neg,@tomcolontonio @apple #EPICFAIL
Neutral,RT @42Hermy: @Reddclay81 now that were done prasing @Apple 's #iOS5Everyone go subscribe to notsosuperpro! #shamlessselfpromotion
Neutral,RT @Porter_Anderson: 3 principal global players will be active in every market...@Amazon @Apple & @Kobo. @MikeShatzkin http://t.co/1 ...
Neg,@Apple #iOS5 #geolocation Suburbs with 2 words drops Map Pins in other States! Please fix.
Neutral,@Late_Show I would have watched but the folks at @apple have a jihad against adobe flash. Plse consider a YouTube link in future on UR site
Pos,@iancollinsuk @apple I like what you did there...!
Neg,on hold for another half hour. phone is ringing but no one is picking up.@apple you stink.
Neg,@sprint @bestbuy still no word on my iPhone4s preorder.  Best Buy blames Sprint Sprint blames @apple I just want an honest answer.  #help
Neg,Turns out my computer isn't as fixed as it is meant to be. Fuck you @Apple I'm going back to your Genius Bar to complain. #annoyed
Neg,Had issues with #Siri reaching network today. Too many uses or my signal? @apple
Neg,yo @apple this update is a disaster
Pos,@blackberry boo hiss!............@apple wuhu!!!!!!!! When will my berry powered technology actually work??
Neg,@Joelplane @apple I hear you! I've had trouble with my 3 & now 4. I've even turned down brightness. #andshuttingdownrunningprograms #nohelp
Neutral,@Apple  I asked Siri 'if she swallowed' she relied 'Lets see' - wtf do i do now? wank over my phone?
Neg,iTunes is @apple's worst product. Worse than the #Newton or the hockey puck mouse. It's utterly painful to use.
Neg,In less than an hour my post- #iOS5 iPhone has gone from 100% to 73% battery charge and the @apple store folks have no solution for me :(
Neutral,@MisThang2u nope they wouldn't even let me & my mom switch @apple she has an upgrade mine isn't do til march
Neutral,RT @jesperordrup: Hi @apple. Household has 4 iphones 2 ipads 2 minis 2 apple tv AirPorts Timecapsule +. Whats a usable iPhoto shari ...
Neg,Asked #Siri Where's Baby Lisa? and was told sorry I'm having trouble connecting to the network right now. @apple server fail. #ios5
Neutral,Is leaving Steve's photo on the @apple home page what he would really want? In his honor...let's get back to innovation!  Eh @mark_newton?
Neg,Why is  #Siri always down @apple
Neutral,@Bestbuy or @Apple to purchase my imac iPad and printer? #StudentDiscounts?
Neutral,RT @HowardMortman: .RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/7vZSIXpy
Neutral,You need to ask #Siri her favorite color and the average speed of an unladen swallow. Seems Someone @apple is a Monty python fan
Neg,i update to ios 5 and lose everything on my phone and it wont let me sign into my itunes account... thanks @Apple
Neutral,@Twitter returns a Error 500 when we try to post the link to @Apple Support Community detailing how to turn off auto renewal subscriptions.
Neutral,macbreak weekly @TWiT via @apple airplay in full HD on the 42. finally! @leolaporte @Ihnatko @alexlindsay
Neg,@apple #apple One thing I hater about this #mouse the #buttery finish so fast am not #happy now #macworld @macworld http://t.co/5Uh4a4Vt
Neg,Der iCloud I HATE U  AND I HOPE YOU DIE  YOU ARE THE WORST FUCKING INVENTION IN THE WORLD  FUCK YOUUUUUUUUUUUU #iCloud @apple @stevejobs
Neutral,#Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/en0iacwR #PampersHelloApps
Neutral,Video: SIRI also gets angry. http://t.co/tzigD99b  @chrisvoss @apple #apple #siri #iphone4S #Ai
Neutral,Thinking more I want Android to do an iMessage service & for @Google & @Apple to interconnect. They would if the cared about their users.
Neutral,At @Apple HQ
Pos,RT @To1ne: .@apple thanks for fixing this... http://t.co/wTj1ogDO
Neutral,@Apple's Steve Jobs Gets His Day | PCWorld http://t.co/6gT6w2Od
Neg,anyone else stuck in duped calendar/mail/battery sucking @apple hell? #iCloud and #OSX Lion are a disappointment
Neg,I sure as hell better be able to restore my calendar events. Terrible bug apple! @apple #icloud #anothericloudfail
Neg,Dear @apple your staff at the Little Rock store answered my first 3 questions with I don't know. they weren't hard questions.
Neutral,Big mo: In one week @Apple #iCloud hits 20M users; 25M use #iOS 5 http://t.co/HTpUTBFK via @cnet
Neutral,At the Genius Bar... Waiting @apple store
Neutral,@vlingo is a POOR substitute for Siri!! Yo @APPLE gimmie Siri!!!!
Neutral,RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/OshPyV2G
Neg,shit shit shit. IOS5 update ate all my apps data and media just like @apple said it would. This is going to take some time to rebuild.
Neutral,@dyanna299 you mean like Muhaimin @apple.com?
Pos,Sorry @BlackBerry I'm moving to @Apple.
Neutral,RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/FTLttLPn
Neutral,Dear @apple as a hoh/deaf user can you please add options for stronger and longer vibrate for #iphone4s ? Thank you! #hoh #deaf #ally
Neutral,The battle of voice controlled AI platforms. If they were mobile OS ind - same q's as in IE antitrust case in EU? Vlingo v @google v @apple
Pos,.@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear
Neg,@amandbrar @apple Siri has worked for me less than 10% of the time. If service doesn't improve by Monday I'm returning my iPhone 4S.
Pos,Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple
Neg,Bummer that @Apple #iCloud syncs on Windows only w/ Outlook (not Thunderbird) & IE (not Firefox Chrome). #sadmac
Neg,@apple my iPhone is charging very slowly!!!!!
Pos,@apple - you have invented a product that actually gets my brother to call my parents when he gets where he's going. Amazing. #siri #ipod4s
Neutral,RT @HaendelBalzora: dear @apple please invent FaceTime Voicemails. sincerely haendel balzora jr. #apple
Pos,Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is
Neutral,I promise this iPhone been at 1% battery for the last 3 hours. I see you @apple.
Neutral,RT @TalkYo_ISH: Dear @Apple Can We Get Some Afro-American Emoticons? -Management
Neutral,In honor of Steve Jobs. @apple #RIPSteve http://t.co/NyjhkNoU
Neutral,Hall Pass had me rolling...... @Apple bee's lookin for nookie really
Neutral,YESSS @apple fix it also slow internet RT @SprintFeed: iPhone 4S owners are you having trouble with Siri connecting to internet?
Neg,An apple update has seemed to render my work machine incapable of opening HDV video. Thanks @Apple. Zero useful productivity today.
Pos,When you want something done right you do it yourself... or go to @Apple. AT&T you're useless these days. #yourdaysarenumbered
Neg,Frustrated that I bought a new macbook pro from @apple only to find it doesnt ship with media! #expensivepaperweight
Pos,Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing because you are doing it well! http://t.co/ZZc6bE0w
Neg,I'm suspecting @Apple timed the health-decline of my iPhone 4 perfectly with the iPhone 4s release... My battery is seriously ailing.
Neg,Hey @Apple: stop sending your automatically-depreciate-all-iPhones-older-than-the-4s signal. My #iPhone4 is dying rapidly processor-wise.
Neutral,@Apple @Facebook @Google and @Amazon battle in...The Great Tech War of 2012 http://t.co/uL9zZKv8 by @fmanjoo
Neutral,I hope @apple will release an app for Siri for us non-apple 4s users. #apple #iphone #siri
Neg,@apple #iOS.5 has been nothing but a pain in the ass no room for my music.. Or photos.. Or apps! Can I undo this garbage??
Neg,90 minutes after being at 100% my iPhone 4 (post #ios5 upgrade) has lost 40% of its charge and the @apple store folks are out of ideas.
Neg,@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5
Neg,RT @ShayDiddy: @CircusTK @ups @apple both of them are bs!!! How do u tell me go between a certain time ONLY and the muh fuh is closed!
Neutral,@NoVaTyler: @Foreverfit4u amazing how quickly apple went down the poop tube It couldn't have 2do w/operator error! #sarcasm Still  @apple
Neg,I am very upset about and inconvenienced by this iphone update failed backup. @iphone @apple
Neutral,Notes for Jobs @Apple store in Palo alto downtown. http://t.co/4BJjfq4h
Neg,#DontBeMadAtMeBecause #Android is by far better than @Apple
Neutral,@Apple needs to give me a contract deal i get them new customers all the time #teamiphone
Neg,@Apple unhappy again with service/product quality. Won't buy @Apple again.
Neg,should be studying/ doing work but no I'm hold with @apple HURRY THE FUCK UP! #nopatience
Neutral,@WIREDInsider beautiful yes. though it simply reminds me of @apple's spinning wheel of death. clock reinvented: http://t.co/tJcJAqfl
Neg,none of my apps work after the new ios from @apple. what do i do?!?
Neg,@jane73 @Gazmaz hopefully it's a small bug @Apple must be fixing it. RIGHT  APPLE }:0( #itjustworks
Pos,@Apple Safari Reader owns the worldwide web
Neutral,One thing I want from #ios is searching in the add bar similar to what Firefox or droid phones do. But thnx for a talking Google @apple ...
Neg,@bisquiat @Apple the upgrade just slows down my phone so much it's stuck half the time. uch. thankfully no other damage. sucks for you :(
Neg,@Apple you're killing me. Excited about iOS5 no longer- tragic battery drain genius bar wants to replace the battery. Really?
Pos,I must admit @apple has made me a very happy camper! I have text tones now! Lol! Ring tone: #MakeMeProud Drakes vers! Text tone: Nicki's
Pos,Amazing new @Apple iOs 5 feature.  http://t.co/jatFVfpM
Neg,@carlton858: I really hate dealing with the brain dead people at the @apple store. For such good products customer service sucks. in NZ?
Neutral,@_courtneytaylor @apple did you get a 4S?
Neutral,I love @apple & I love my phone.. but ever since this damn update my texts keep saying they're full when there are none & that's a PROBLEM!!
Neutral,3 principal global players will be active in every market...@Amazon @Apple & @Kobo. @MikeShatzkin http://t.co/1ndxcMO1 #dbw #metacon
Neg,I'm wit chu!! @ShayDiddy: Officially boycotting @ups!!! Calling @apple to curse them out next for using them wasting my time!
Neutral,@Apple needs to take down the Steve Jobs tribute and get back to promoting the brand - put the Cloud on the front page and start explaining
Pos,.@apple thanks for fixing this... http://t.co/wTj1ogDO
Pos,Is it just me or is #iOS5 faster for the iPad? @apple
Neutral,RT @ajrogers Purdie Rogers tribute to #SteveJobs and @apple. We spray painted the Macintosh Plus w.. http://t.co/oMXjhZh0
Neg,@Steelo254 yea! I pre-order through @apple and they sorry too just like #AT&T
Neutral,@Apple feel free to accidently ship me a new iPhone 4s #nobigdeal
Neutral,#Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/I6woujUh #PampersHelloApps
Neutral,@SamsungMobileUS @Apple would disagree with you right now.
Neg,@robert_terpstra no worries bud ps: they're saying that the 4s is having a lot of network issues right now. (I'm @apple for mac problems)
Neutral,In front of the @apple store. So many blue shirts I feel like I'm at a smurf reunion. #iPhone4S
Pos,! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps
Neutral,Can this ho Siri update your tweets? cc: @apple @iPhone_News
Pos,Come to the dark side @gretcheneclark: Hey @apple if you send me a free iPhone I will publicly and ceremoniously burn my #BlackBerry.
Neg,@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em
Neutral,@Apple received 1m pre-orders in a single day for its new iPhone 4S #consumer_demand #steve_jobs
Neutral,@APPLE freaks is Siri available for Iphone 4 yet?
Neutral,Noticed how @apple has added the like & tweet icons on their page? http://t.co/PZoNZeC8 #like #facebook #tweet
Pos,@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN
Neg,Dear @apple My new Air is now a notbook since your update killed #wifi #bug #destroying #productivity
Neutral,RT @DailyDealChat: @bidmyway I like your app for the @apple iPhone very simple and easy to use!
Neg,Damn it @Apple!! Whatchu done to my phone??
Neutral,Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/2XJZaLCs #PampersHelloApps
Neutral,Whoa! Line at @apple store in Glendale for iPhone 4S  http://t.co/yZlpogXB
Neutral,Or hide it.. RT @LucasBlack: Dear @Apple.Re: Newsstand. Don't advertise magazines for free:they're NOT free.Alsoallow us to remove the app.
Pos,God Bless @YouTube @apple for  #appletv & our bad ass system. LOVING #PrincessOfChina. GB to @coldplay & @rihanna too :)
Neutral,IHS: iPhone 4S shows key design and component changes. http://t.co/Y3Mali6y  @apple #apple #iphome4S #ios5
Neg,Dear @apple please send me my Mac Book back surely the repair is done by now... Thanks!
Neutral,A court in Sydney banned the sale of @Samsung 's Galaxy Tab in Australia over intellectual property infringement claims by @Apple  #IP_wars
Neutral,#California Governor @JerryBrown declares today #SteveJobsDay in his State. Music video tribute  http://t.co/mNr1HIx2 @mashable @cnet @apple
Neg,Apparently fuzzball crashes on #iOS5. Congratulations @apple on another incompatible upgrade
Neg,@ford should have teamed up with @Apple instead of @microsoft to make this SYNC system in my new focus. Car is sweet SYNC is #EpicFail
Neutral,@Blackberry -vs- @Apple iPhone?
Neutral,Our trip to SF and Silicon Valley is about to end. Visit @Apple HQ is one of the final stops. http://t.co/ikoOqdoc
Neg,Hey @apple now I have iOS5 my iPhone doesn't include songs that are on compilation albums under the artist's name. #whaddupwitdat
Neg,@Apple would do better to inform customers properly about migrating to #iCloud - many complaints lead to #image damage http://t.co/QL7zmPpO
Neutral,Still a line @apple store Hillsdale mall #94402 http://t.co/wzVxNz8E
Neg,I really hate that @apple won't let you hide the Newsstand app or move it into a folder. It serves no purpose for me.
Neg,So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple
Neg,Having major battery drain issue since updating iPhone 4 to iOS 5.  Anyone else? @AppStore @iPhone @apple
Neutral,Tell how Steve Jobs & @Apple changed your life and $5 will be donated to Pancreatic #Cancer Research! @PanCAN @Pan_Act http://t.co/BWzganje
Pos,Loving my new #iPhone4S thanks @apple for #ios5
Neutral,IHS: iPhone 4S shows key design and component changes. http://t.co/gZmdzvLe  @apple #apple #iphome4S #ios5
Neutral,Awesome documentary about how apple was created.. #stevejobs #apple @apple http://t.co/Qetk8ds2
Neutral,Been MIA from Twitter.. But now Tweeting from my new @apple iPhone! :) #finallycool #notreally well It IS ..I'm not :) #stilllearning
Neutral,Head to our FB page for a link to the @Apple Community Support Page detailing how to turn off #newsstand auto renewal.http://t.co/65HPp0tu
Neutral,Fregon el nuevo facebook para iPod/iPhone haha alomejor ya tiene rato pero yo lo acabo de actualizar @apple
Neutral,@Motorola is the Best Android-powered company that is going against @Apple.
Neg,I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple
Neg,RT @MikeFerri: If @apple doesn't fix iOS5 this week I'm buying a droid #emptythreats
Neg,@apple cu
Neg,Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s
Neg,Suddenly lost all address book on @3GS iPhone. And someone was using my @Apple ID. It all fucked up.
Neutral,RT @adamnash: The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc ...
Neg,#appleupdates2 success stories- iPhone & iPad 2.Now been on phone to Apple 45 mins. iPad 1 WILL not. Wasting my time @apple#Replaceit!
Neutral,@apple and I'm looking at the outside & all you see is sticky notes about steve jobs
Neg,OMG @apple WHY THE FUCK DID YOU DELETE ALL MY MUSIC YOU DICKS
Pos,Bravo @Apple! http://t.co/BgoTzj7K
Neutral,Interesting times when increasing your revenue from $20B to $28B in a recession is considered a disappointment. @apple
Neg,@betweensundays Ah! Yeah...should be an option...hopefully @apple figures that out. Thx
Neutral,@Mommy_gaga #Win an @Apple iPod Touch @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/qEATNMpI #PampersHelloApps
Neutral,Siri is cool but more importantly handy and FUNNY. @Apple please configure it for Canada. What's with the racism EH?
Neutral,Why doesn't the Genius have songs for Watch the Throne yet? HUH? @APPLE ?????
Pos,Finally got my iPhone 4S thanks @Apple. Stupid @att. Learned my lesson.
Pos,Loving #iOS5 !! #awesome @Apple
Neg,Disappointing visual merchandising @apple. Simple but lacks elegance. And sequence doesn't even tell us about #Siri. http://t.co/XV2q3gfi
Neutral,Anyone know why we can only read iBooks on the iPhone and iPad? Any ideas how to read them on mac? @apple
Neutral,dear @apple please invent FaceTime Voicemails. sincerely haendel balzora jr. #apple
Neg,Hey guys at @Apple WTF is happening to #iPhone4 with #iOS5 suddenly fade to black and begin to vibrate continuously I had to reboot it
Neutral,#Siri on @Apple #iPhone4S can allow unauthorized access to texts and emails even when the phone is locked!! http://t.co/0q5dLt22
Neg,Pissed with whoever designs keyboards with @apple for not having a home and end key.  working on the CLI i use those keys often
Neg,@Apple #iOS5 NONSTOP DROPPED CALLS&MUTE BUTTON RANDOMLY ACTIVATING&PERSON CANT HEAR ME PULL PHONE FROM EAR TO BE ON A MOBILE ME SCREEN
Neg,Dear @Apple how convenient/handy/thoughtful/smart that after iPhone #ios5 update you're apps won't work anymore! (none!!!) :( #gr%\mbl^.%)
Neutral,.@Apple has a record quarter and because a bunch of professional guessers (aka analysts) wanted more its a disappointment #wtf
Pos,#iOS5 update submitted to @apple! Thanks for all the support!
Neutral,Smh at @ItsTheSituation for trying to cut in line for a 4S. Cmon mayne if @Apple's cofounder stood in line then you are too.
Neutral,Attending #mobilemem  listening to James Kelley from @apple .
Neutral,People are waiting in line @apple for phones at 1:30 on a Tuesday! Don't you people have Jobs(no pun intended?)???
Neutral,#Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/DLLabuAK #PampersHelloApps
Pos,#sweet... #apple replaced my glass #probono. thank you @apple
Neutral,Why didn't @apple provide 5GB per device for cloud backup?  Why just 5GB per account?  Silly.
Pos,@apple @siri is efffing amazing!!
Neutral,Would you look at that.. @SouthwestAir does @Apple style welcomes as well. http://t.co/t0TrFnk8 #customerappreciation #custserv
Neutral,@Apple Y U NO LET ME PRE-ORDER IPHONE 4S?
Neg,@apple AirDrop #fail - Immediate declined your request. every time
Neutral,@ireton Perhaps it's time for @Apple to come out with an app called iSuck that lets you know which apps are killing your battery life
Neutral,@coatgal @apple considering his circumstances - suffering faults on/off for long periods -They replaced his phone with a new as a  goodwill
Neutral,@virgojud81 well maybe if you would set ya @apple products to send push notifications it would go through.
Neutral,@apple is profiting a min of $400 per 4s.  They sold 4 million this weekend. That's another 1.6 Billion to Apples coffers! #worldRecession?
Pos,the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple
Neg,Dear @apple. I had to turn off all those awesome featured you just enabled. Data plan can't handle it. 200 mb of data just because #
Neutral,#BreakingNews @Gizmodo reports: @Apple #iPhone 4S sold over $4 million over the weekend! #TrueStory  http://t.co/BEj32s6a
Neg,any chance @apple will release good headphones that dont blast music outside the ears? #iphone #ipod its quite obnoxious
Neutral,@apple must be launching a #searchengine - imminent surely. #AppleSearch #AppleCore #bigapple haha! Please be the latter
Pos,@RickySinghPT got a new backside for my eye phone! V impressed with @apple
Neutral,Really @Apple and @ATT - Removing the 3G/EDGE switch on iOS 5? You do realize that you work on the 3G network in places often right?
Pos,RT @katebetts: Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t. ...
Neg,@apple not happy with Apple today. I did the suggested software update and now nothing works!!!
Pos,Updated my iOS and started using cloud services. Pretty bad ass @apple my #iPhone 3GS still the champ.
Neutral,RT @Porter_Anderson: 3 principal global players will be active in every market...@Amazon @Apple & @Kobo. #fbf11 #publaunch @MikeShat ...
Neutral,RT @robertoafelipe: @apple predicts #Siri in 1987 in video the video is staged for September 2011 http://t.co/tFNRP3MD
Neutral,@apple How much is the student discount on the MacBook Air in Canada? Your reps have said both $50 and $100. Which is it? Thanks! #laptop
Neutral,The new @apple #find my friends app is great.... except the part where you have to log in everytime. Get back to me when this is changed...
Neg,@apple thanks apple for ios 5 and losing all my contacts!
Neutral,Steve Jobs Biopic Coming Soon - @Apple #Apple #SteveJobs http://t.co/DxZBa5bG
Neutral,Lmao RT @RobynheaRtz: He asked Siri where's the hoes at & she told him where the nearest escorts were I love @apple
Pos,@apple by far the best iPod and first time iPhone ever.... Good job guys
Neg,@apple thank you for ruining my 3GS with #iOS5. You've just turned my phone into an utterly useless pile of shit.
Pos,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol
Neg,@Mayati I think @Apple didn't do such a thorough job with the step x steps for upgrade and move to iCloud. Now it's cost me mightily.
Neutral,yes i am live tweeting my @apple tech support call. Isn't this fun?
Neutral,Watching @cotmtulsa webcast on Joseph  from my iPad on my @apple TV. I love technology. http://t.co/mpBZyl72
Neutral,@Mommy_gaga  #Win an @Apple iPod Touch @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/qEATNMpI #PampersHelloApps
Neutral,Ok so it was a lion and not a leopard. Too much upgrading this weekend. @apple
Neg,Wtf @apple 64 pages for the new terms & conditions when u update ur apps from the iTunes store. Do u really think we'll read em? Really???
